Laundering Attack,LaA_Parameter,CQCC-GMM,LFCC-GMM,LFCC-LCNN,Ocsoftmax,Rawnet2,RawGat_ST,AASIST
RT,0.3,50.24,50.23,8.38,8.31,13.27,26.62,20.46
RT,0.6,50.44,50.32,10.09,9.5,14.22,34.49,25.29
RT,0.9,50.37,50.41,11.16,10.13,15.88,35.29,28.42
RT,avg,50.35,50.32,9.88,9.31,14.46,32.13,24.72
Babble,20,50.12,50.24,6.5,8.32,6.19,2.2,2.38
Babble,10,49.99,50.06,7.87,9.39,6.87,11.46,4.49
Babble,0,75.13,50.28,15.19,17.45,14,25.64,14.56
Babble,avg,58.41,50.19,9.85,11.72,9.02,13.1,7.14
Volvo,20,49.72,49.95,5.87,7.99,6.13,4.5,2.26
Volvo,10,49.99,50,6.08,9.02,6.13,9.33,2.64
Volvo,0,49.83,50.19,6.58,10.77,21.63,18.85,4.26
Volvo,avg,49.85,50.05,6.18,9.26,11.3,10.89,3.05
WN,20,49.76,50,7.99,9.81,6.55,2.09,2.5
WN,10,50.17,50.25,11.66,12.01,8.31,3.42,3.7
WN,0,49.59,49.96,18.18,17.32,31.68,19.96,11.84
WN,avg,49.84,50.07,12.61,13.05,15.51,8.49,6.01
Cafe,20,49.34,49.91,6.86,8.89,6.27,2.3,2.5
Cafe,10,49.6,50.14,8.47,11.2,8.46,8.9,5.48
Cafe,0,49.82,50.38,13.13,24.43,20.43,26.75,19.55
Cafe,avg,49.59,50.14,9.49,14.84,11.72,12.65,9.18
Street,20,49.78,50.23,6.44,9.65,6.32,2.81,2.43
Street,10,49.69,49.93,7.65,12.56,8.78,11.56,5.29
Street,0,50.14,49.88,13.71,19.71,21.5,27.3,17.81
Street,avg,49.87,50.01,9.27,13.97,12.2,13.89,8.51
Recompression,16k,50.33,49.63,13.611,14.59,6.16,2.43,2.76
Recompression,64k,49.99,50.15,5.75,8.21,5.92,1.72,2.08
Recompression,128k,50.06,50.09,5.94,7.99,5.92,1.68,1.99
Recompression,196k,50.11,50.04,5.93,8.01,5.95,1.67,1.99
Recompression,256k,50.11,50.04,5.92,8.01,5.95,1.67,1.99
Recompression,320k,50.11,50.04,5.92,8.01,5.95,1.67,1.99
Recompression,avg,50.12,50,7.18,9.14,5.98,1.81,2.13
Resampling,8k,49.73,50.51,14.39,11.31,5.39,5.33,4.17
Resampling,11k,50.07,50.51,12.47,10.62,6.22,1.94,2.91
Resampling,22k,50.07,50.37,8.42,6.97,6.14,5.67,4.26
Resampling,44k,50.13,50.62,10.13,6.79,6.14,21.17,24.42
Resampling,avg,50,50.5,11.35,8.92,5.97,8.53,8.94
Low Pass Filter,7k,50.1,50.36,8.39,7.6,6.05,5.67,4.31
